YEAR,CMTE_ID,TOTAL_TRANSACTIONS,CMTE_NAME
2004,C00032698,10000,INDEPENDENT COMMUNITY BANKERS OF AMERICA POLITICAL ACTION COMMITTEE
2004,C00250399,10000,AUTOMOTIVE FREE INTERNATIONAL TRADE PAC
2004,C00376376,10000,"ST. PAUL TRAVELERS COMPANIES INC. POLITICAL ACTION COMMITTEE (STA PAC), THE"
2004,C00040998,10000,DEALERS ELECTION ACTION COMMITTEE OF THE NATIONAL AUTOMOBILE DEALERS ASSOCIATION (NADA)
2004,C00386573,10000,NORTHSTAR LEADERSHIP PAC
2004,C00010470,10000,UNION PACIFIC CORP. FUND FOR EFFECTIVE GOVERNMENT
2004,C00010421,10000,ASSOCIATED BUILDERS AND CONTRACTORS PAC
2004,C00307405,10000,KEEP OUR MAJORITY PAC
2004,C00000422,10000,AMERICAN MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE
2004,C00098061,10000,TARGETCITIZENS POLITICAL FORUM
2004,C00000901,10000,BUILD POLITICAL ACTION COMMITTEE OF THE NATIONAL ASSOCIATION OF HOME BUILDERS
2004,C00328468,10000,"COMMITTEE FOR THE PRESERVATION OF CAPITALISM (CPC), THE"
2004,C00211318,10000,DELOITTE & TOUCHE FEDERAL POLITICAL ACTION COMMITTEE
2004,C00003764,10000,NATIONAL RESTAURANT ASSOCIATION POLITICAL ACTION         COMMITTEE
2004,C00068692,10000,FEDERAL EXPRESS POLITICAL ACTION COMMITTEE
2004,C00004275,10000,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC)
2004,C00389668,10000,CARE POLITICAL ACTION COMMITTEE
2004,C00104802,10000,NORTHWEST AIRLINES POLITICAL ACTION COMMITTEE
2004,C00107235,10000,PRICEWATERHOUSECOOPERS POLITICAL ACTION COMMITTEE I
2004,C00292946,10000,AMERICANS FOR A REPUBLICAN MAJORITY POLITICAL ACTION COMMITTEE
2004,C00305797,10000,AMERICA'S FOUNDATION FKA FIGHT - PAC
2004,C00376038,10000,HELP AMERICA'S LEADERS POLITICAL ACTION COMMITTEE (HALPAC)
2002,C00307405,10000,KEEP OUR MAJORITY PAC
2002,C00227744,10000,ERNST & YOUNG POLITICAL ACTION COMMITTEE
2002,C00068692,10000,FEDERAL EXPRESS POLITICAL ACTION COMMITTEE (FED EXPAC)
2002,C00067884,10000,"CARGILL, INCORPORATED, POLITICAL ACTION COMMITTEE"
2002,C00064766,10000,UNITED PARCEL SERVICE INC. POLITICAL ACTION COMMITTEE
2002,C00101105,10000,NATIONAL FEDERATION OF INDEPENDENT BUSINESS/ SAVE AMERICA'S FREE ENTERPRISE TRUST
2002,C00211318,10000,DELOITTE & TOUCHE FEDERAL POLITICAL ACTION COMMITTEE
2002,C00107235,10000,PRICEWATERHOUSECOOPERS POLITICAL ACTION COMMITTEE I
2002,C00144766,10000,NATIONAL BEER WHOLESALERS ASSOCIATION POLITICAL ACTION COMMITTEE
2002,C00110338,10000,AMERICAN CRYSTAL SUGAR COMPANY POLITICAL ACTION COMMITTEE
2002,C00314641,10000,LEADERSHIP PAC 2002
2002,C00328468,10000,COMMITTEE FOR THE PRESERVATION OF CAPITALISM
2002,C00280222,10000,KPMG PARTNERS/PRINCIPALS & EMPLOYEES POLITICAL ACTION COMMITTEE
2002,C00117721,10000,CONGRESSIONAL MAJORITY COMMITTEE
2002,C00010421,10000,ASSOCIATED BUILDERS AND CONTRACTORS POLITICAL ACTION COMMITTEE (ABC/PAC)
2002,C00003764,10000,NATIONAL RESTAURANT ASSOCIATION POLITICAL ACTION         COMMITTEE
2002,C00004275,10000,ABA BANKPAC
2000,C00292946,10000,AMERICANS FOR A REPUBLICAN MAJORITY (ARMPAC)
2000,C00305805,10000,FREEDOM PROJECT; THE
2000,C00010421,10000,ASSOCIATED BUILDERS AND CONTRACTORS POLITICAL ACTION COMMITTEE (ABC/PAC)
2000,C00307405,10000,KEEP OUR MAJORITY POLITICAL ACTION COMMITTEE (KOMPAC)
2000,C00144766,10000,NATIONAL BEER WHOLESALERS' ASSOCIATION POLITICAL ACTION COMMITTEE (NBWA PAC)
2006,C00034405,9999,INTERNATIONAL PAPER POLITICAL ACTION COMMITTEE
2002,C00344648,9999,RELY ON YOUR BELIEFS FUND
2006,C00014555,9998,FOOD MARKETING INSTITUTE POLITICAL ACTION COMMITTEE FOODPAC
2004,C00325357,9936,PIONEER POLITICAL ACTION COMMITTEE
2004,C00077321,9917,AMERICAN INSTITUTE OF CERTIFIED PUBLIC ACCOUNTANTS POLITICAL ACTION COMMITTEE
2006,C00105981,9500,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE (ICI PAC)
2004,C00003418,9500,REPUBLICAN NATIONAL COMMITTEE
2002,C00082917,9500,ASSOCIATED GENERAL CONTRACTORS OF AMERICA POLITICAL ACTION COMMITTEE
2000,C00301366,9500,MAJORITY LEADER'S FUND
2006,C00166348,9450,SOUTHERN MINNESOTA BEET SUGAR COOPERATIVE POLITICAL ACTION COMMITTEE
2002,C00075820,9158,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE EXPENDITURES
2006,C00007880,9000,CREDIT UNION LEGISLATIVE ACTION COUNCIL OF CUNA
